source_excel_row,brand,inferred_brand_method,tsw_supplier_sku,manufacturer_part_number,Categaory,prod,countryoforigin,tariffcd,eccnclasscd,Prod Description,Stocking Unit,Selling Unit,Selling_Conv,weight,Length,Width,Height,Pack Qty,BOX Qty,CASE Qty,CTN Qty,PLT Qty,All_Barcodes,UPC_List
4690,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050145,050145,AUTOMATIC TT PARTS,TTT050145,US,8205595560,,MAIN SHAFT,EACH,EACH,1,0.169,3,3,1,,,,,,,
4691,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050148,050148,AUTOMATIC TT PARTS,TTT050148,US,8205595560,,COVER CLAMP,EACH,EACH,1,0.005,2,0.5,0.25,,,,,,,
4692,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050149,050149,AUTOMATIC TT PARTS,TTT050149,US,8205595560,,COVER LATCH,EACH,EACH,1,0.01,2,0.4,0.4,,,,,,,
4693,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050150,050150,AUTOMATIC TT PARTS,TTT050150,US,8205595560,,BAND CLAMP BLACK TAPETECH,EACH,EACH,1,0.178,11.15,0.45,0.35,,,,,,,
4694,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050151,050151,AUTOMATIC TT PARTS,TTT050151,US,8205595560,,SEAL RETAINER,EACH,EACH,1,0.008,1.5,0.5,0.25,,,,,,,
4695,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050152F,050152F,AUTOMATIC TT PARTS,TTT050152F,US,8205595560,,CABLE DRUM RETAINER,EACH,EACH,1,0.007,1.5,0.2,0.1,,,,,,,
4696,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050153,050153,AUTOMATIC TT PARTS,TTT050153,US,8205595560,,RETAINING SPRING,EACH,EACH,1,0.002,1,0.25,0.25,,,,,,,
4697,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050154,050154,AUTOMATIC TT PARTS,TTT050154,US,8205595560,,REEL PLATE,EACH,EACH,1,0.007,2,0.5,0.25,,,,,,,
4698,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050155,050155,AUTOMATIC TT PARTS,TTT050155,US,8205595560,,REEL COVER,EACH,EACH,1,0.1085,8,2.5,0.25,,,,,,,
4699,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050156,050156,AUTOMATIC TT PARTS,TTT050156,US,8205595560,,BRAKE ROLLER - 07TT/07TT-C TAPETECH,EACH,EACH,1,0.0035,0.9,0.25,0.25,,,,,,,
4700,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050157,050157,AUTOMATIC TT PARTS,TTT050157,US,8205595560,,BRAKE ROLLER CAM,EACH,EACH,1,0.01,0.9,0.25,0.25,,,,,,,
4701,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050158,050158,AUTOMATIC TT PARTS,TTT050158,US,8205595560,,MAIN SHAFT WASHER TAPETECH,EACH,EACH,1,0.001,0.75,0.75,0.1,,,,,,,
